Flight,Depart time,Arrival time,Journey duration,Price
"IndiGo
6E-129/6E-803",13:25,19:40,6h 15m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,651', '7,233', '7,334', '']}"
"Air India
AI-865",10:45,13:05,2h 20m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,742', '7,324', '7,477', '']}"
"IndiGo
6E-2331/6E-803",12:00,19:40,7h 40m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,790', '7,372', '7,424', '']}"
"IndiGo
6E-129/6E-5139",13:25,18:25,5h 00m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,812', '7,394', '7,510', '']}"
"Air India
AI-817/AI-614",05:30,09:30,4h 00m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"Air India
AI-493/AI-614",20:45,09:30,12h 45m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"Air India
AI-531/AI-614",19:45,09:30,13h 45m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"Air India
AI-835/AI-614",16:20,09:30,17h 10m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"Air India
AI-481/AI-614",11:20,09:30,22h 10m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"Air India
AI-493/AI-632",20:45,19:05,22h 20m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"Air India
AI-531/AI-632",19:45,19:05,23h 20m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"Air India
AI-423/AI-614",09:50,09:30,23h 40m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
